Country,CountryCode,Area (km2),Economic Status (World Bank),World Region,EnergyUse_2004 (kg oil equiv per capita),Year,Population,Births,Deaths,GDP ($US),MilitaryExpenditure_2005 (%GDP),Life Expectancy (male),Life Expectancy (female),Infant Deaths (male),Infant Deaths (female)
Afghanistan,AFG,647500,Low income,South Asia,,2001,23997412,1143717,529623,2461638912,,41.4,41.8,105972,90599
Albania,ALB,27398,Lower middle income,Europe and Central Asia,760.0298227,2001,3490304,53367,16474,4091020544,1.4132621,73.6,79.6,743,585
Algeria,DZA,2381740,Lower middle income,Middle East and North Africa,1016.609065,2001,30851518,598519,144694,55180988416,2.815593944,70.5,73.4,12259,9216
American Samoa,ASM,199,Upper middle income,East Asia and Pacific,,2001,57529,1650,207, ,,71.4,78.8,9,8
Andorra,ADO,468,High income: nonOECD,Europe and Central Asia,,2001,67627,696,366, ,,80.6,86.6,2,1
Angola,AGO,1246700,Lower middle income,Sub-Saharan Africa,612.5222716,2001,10538387,498887,285380,8936023040,5.042401356,35.3,36.9,53535,44821
Antigua and Barbuda,ATG,443,High income: nonOECD,Latin America and Caribbean,,2001,66970,1306,393,710370368,,68.5,73.1,18,11
Argentina,ARG,2736690,Upper middle income,Latin America and Caribbean,1660.476009,2001,37916560,680981,288166,2.69E+11,0.969284549,71.3,79,6727,4986
Armenia,ARM,28400,Lower middle income,Europe and Central Asia,703.5483755,2001,3027590,32395,24281,2118467968,2.718621804,67,74.2,566,310
Aruba,ABW,193,High income: nonOECD,Latin America and Caribbean,,2001,90971,1197,698,1898882688,,70.2,76.3,15,7
Australia,AUS,7617930,High income: OECD,East Asia and Pacific,5762.29345,2001,19357594,248939,138988,3.81E+11,1.778029926,77,82.9,686,551
Austria,AUT,82444,High income: OECD,Europe and Central Asia,4059.843175,2001,8131690,75462,74730,1.93E+11,0.73543392,75.9,81.7,226,132
Azerbaijan,AZE,86100,Lower middle income,Europe and Central Asia,1558.798073,2001,7847233,132461,66937,5707618304,2.012377705,59.8,68.5,5476,3872
The Bahamas,BHS,10070,High income: nonOECD,Latin America and Caribbean,,2001,292663,5654,2467,5130999808,0.650755194,62.5,69.3,97,57
Bahrain,BHR,665,High income: nonOECD,Middle East and North Africa,10469.11235,2001,645361,12952,2530,7928934400,,70.8,75.7,152,104
Bangladesh,BGD,133910,Low income,South Asia,163.6969911,2001,132974813,3902811,1178157,46953037824,1.137690936,60.8,60.4,141867,130354
Barbados,BRB,431,High income: nonOECD,Latin America and Caribbean,,2001,274584,3688,2496,2533883392,,69.9,74,27,21
Belarus,BLR,207600,Lower middle income,Europe and Central Asia,2725.439794,2001,9999789,91698,140297,12354820096,1.244738826,62.9,74.8,481,351
Belgium,BEL,30278,High income: OECD,Europe and Central Asia,5536.256815,2001,10291679,113208,104975,2.32E+11,1.239520631,74.7,81.2,326,239
Belize,BLZ,22806,Upper middle income,Latin America and Caribbean,,2001,254497,8057,1425,871299968,,66.5,70.7,130,96
Benin,BEN,110620,Low income,Sub-Saharan Africa,302.6705448,2001,6824931,286579,91932,2371785984,,50.3,52.6,13547,11681
Bermuda,BMU,53,High income: nonOECD,North America,,2001,63498,816,465, ,,75,79.1,5,3
Bhutan,BTN,47000,Lower middle income,South Asia,,2001,2049412,73225,28753,492724736,,53.2,52.4,3959,4014
Bolivia,BOL,1084390,Lower middle income,Latin America and Caribbean,552.5557925,2001,8300463,226354,68064,8141513216,1.872527226,61.5,66.7,7285,6065
Bosnia and Herzegovina,BIH,51129,Lower middle income,Europe and Central Asia,1203.229382,2001,4111293,37701,30341,5438070784,1.755904409,73.2,81,166,113
Botswana,BWA,585370,Upper middle income,Sub-Saharan Africa,1054.803426,2001,1665069,43525,28889,6033253376,2.453672834,44.9,44.9,891,1184
Brazil,BRA,8456510,Upper middle income,Latin America and Caribbean,1113.828357,2001,177752913,3274209,1087848,5.52E+11,1.417634742,66.6,74.7,63703,47686
Brunei,BRN,5270,High income: nonOECD,East Asia and Pacific,7369.690473,2001,332654,7362,1114,4175866368,,72,75.7,71,48
Bulgaria,BGR,110550,Upper middle income,Europe and Central Asia,2434.262948,2001,7738416,73902,110659,13598665728,2.35060963,67.3,74.7,1058,696
Burkina Faso,BFA,273800,Low income,Sub-Saharan Africa,,2001,11732326,557637,206372,2813898240,1.336649433,45,47.7,30320,24908
Burma (Myanmar),MMR,657740,Low income,East Asia and Pacific,282.8574506,2001,44753046,896851,436790,3215936768,,57.9,63,32006,22819
Burundi,BDI,25650,Low income,Sub-Saharan Africa,,2001,6810307,296657,103925,662371264,0.006017581,47.7,48.6,11644,9030
Cambodia,KHM,176520,Low income,East Asia and Pacific,,2001,12621512,338130,111953,3977981184,1.782630309,56.8,61.3,14536,11223
Cameroon,CMR,469440,Lower middle income,Sub-Saharan Africa,433.290314,2001,15706855,599688,227435,9598224384,1.322008267,49,50.8,25285,20729
Canada,CAN,9093507,High income: OECD,North America,8410.641158,2001,31592805,354155,235998,7.05E+11,1.139443837,76.2,83.1,999,779
Cape Verde,CPV,4033,Lower middle income,Sub-Saharan Africa,,2001,405163,11632,2913,550199616,,65.9,72.6,347,272
Cayman Islands,CYM,262,High income: nonOECD,Latin America and Caribbean,,2001,39588,550,182, ,,76.8,82,3,2
Central African Republic,CAF,622984,Low income,Sub-Saharan Africa,,2001,3993016,144507,75029,967477888,1.1244808,43.2,44.4,7398,6200
Chad,TCD,1259200,Low income,Sub-Saharan Africa,,2001,8179408,402509,150338,1709344256,0.837520952,45.4,47.5,24433,20596
Chile,CHL,748800,Upper middle income,Latin America and Caribbean,1732.344361,2001,15327316,257652,85986,68568293376,3.666722173,72.5,79.2,1402,1131
China,CHN,9326410,Lower middle income,East Asia and Pacific,1241.629999,2001,1276882500,17059150,8848796,1.32E+12,1.974242495,69.6,72.5,216779,276572
Colombia,COL,1038700,Lower middle income,Latin America and Caribbean,624.6313097,2001,40483525,906831,229542,81990279168,3.711013865,66.7,74.6,13035,9074
Comoros,COM,2170,Low income,Sub-Saharan Africa,,2001,596457,23572,5553,220115136,,58.2,62.7,1111,868
Congo (Dem. Rep.),ZAR,2267600,Low income,Sub-Saharan Africa,296.4752585,2001,54075014,2467984,641870,4691816448,2.109062981,52.7,56.9,101882,82452
Congo (Rep.),COG,341500,Lower middle income,Sub-Saharan Africa,273.7611407,2001,3238410,144465,48382,2794254080,,49.1,50.9,7456,6427
Costa Rica,CRI,50660,Upper middle income,Latin America and Caribbean,869.9665674,2001,3773057,76480,16224,16403388416,,73.5,78.7,475,380
Cote d'Ivoire,CIV,318000,Low income,Sub-Saharan Africa,387.5918027,2001,15909606,587542,245326,10553994240,,45.2,50.2,34246,23075
Croatia,HRV,56414,Upper middle income,Europe and Central Asia,1985.212195,2001,4439110,40973,49540,19862996992,1.577248181,68.4,78.2,163,139
Cuba,CUB,110860,Lower middle income,Latin America and Caribbean,950.290285,2001,11155816,145026,78760, ,,73.8,78.1,567,413
Cyprus,CYP,9240,High income: nonOECD,Europe and Central Asia,3534.739119,2001,762887,9979,5836,9496591360,,74.6,79.3,51,28
Czech Republic,CZE,77276,High income: OECD,Europe and Central Asia,4460.403983,2001,10262308,92156,108575,61842321408,1.777419484,71.8,78.5,211,166
Denmark,DNK,42394,High income: OECD,Europe and Central Asia,3716.412182,2001,5355826,65448,58325,1.60E+11,1.373307284,74.7,79.2,161,154
Djibouti,DJI,22980,Lower middle income,Middle East and North Africa,,2001,437778,18146,8554,572417472,,41.8,44.5,1085,909
Dominica,DMA,754,Upper middle income,Latin America and Caribbean,,2001,71208,1185,611,261777760,,72,77.8,12,6
Dominican Republic,DOM,48380,Lower middle income,Latin America and Caribbean,821.0510805,2001,8544774,214132,46569,21604552704,0.602979438,69.7,73.1,4063,3464
East Timor,TMP,14609,Low income,East Asia and Pacific,,2001,899109,25589,5943,367900000,,62.3,66.8,794,580
Ecuador,ECU,276840,Lower middle income,Latin America and Caribbean,773.1604579,2001,12701839,314116,55253,21250000896,2.414431487,72.5,78.3,5224,3304
Egypt,EGY,995450,Lower middle income,Middle East and North Africa,783.0294511,2001,71928891,1823397,386258,97632010240,2.804085392,67.4,72.4,36733,31389
El Salvador,SLV,20720,Lower middle income,Latin America and Caribbean,663.5179999,2001,6241528,178882,38011,13812744192,0.624484501,66.4,73.8,2785,2138
Equatorial Guinea,GNQ,28051,Upper middle income,Sub-Saharan Africa,,2001,484425,18253,7029,1737448064,,49.1,53.5,969,824
Eritrea,ERI,121320,Low income,Sub-Saharan Africa,,2001,4360461,162253,47049,670772352,,55.5,58.6,4814,3643
Estonia,EST,43211,High income: nonOECD,Europe and Central Asia,3835.43787,2001,1369983,12631,18522,6191332352,1.484147549,64.8,76.2,65,45
